gene_id	transcript_id(s)	length	expected_count	FPKM
AT1G01010	AT1G01010.1	1688.00	64.00	3.41
AT1G01020	AT1G01020.1,AT1G01020.2,AT1G01020.3,AT1G01020.4,AT1G01020.5,AT1G01020.6	1182.08	215.00	16.51
AT1G01030	AT1G01030.1,AT1G01030.2	1894.05	32.00	1.52
AT1G01040	AT1G01040.1,AT1G01040.2	5994.65	709.00	10.47
AT1G01050	AT1G01050.1,AT1G01050.2	984.81	1101.01	102.10
AT1G01060	AT1G01060.1,AT1G01060.2,AT1G01060.3,AT1G01060.4,AT1G01060.5,AT1G01060.6,AT1G01060.7,AT1G01060.8	2132.00	9.00	0.38
AT1G01070	AT1G01070.1,AT1G01070.2	1487.70	183.48	11.12
AT1G01080	AT1G01080.1,AT1G01080.2,AT1G01080.3	1387.51	700.00	45.57
AT1G01090	AT1G01090.1	1896.00	1499.00	70.89
AT1G01100	AT1G01100.1,AT1G01100.2,AT1G01100.3,AT1G01100.4	591.64	2231.33	353.48
AT1G01110	AT1G01110.1,AT1G01110.2	2044.00	77.00	3.37
AT1G01120	AT1G01120.1	2052.00	293.00	12.78
AT1G01130	AT1G01130.1	375.00	22.00	5.72
AT1G01140	AT1G01140.1,AT1G01140.2,AT1G01140.3	1697.91	935.00	49.49
AT1G01150	AT1G01150.1,AT1G01150.2,AT1G01150.3	1228.00	1.00	0.07
AT1G01160	AT1G01160.1,AT1G01160.2	1047.84	788.00	68.52
AT1G01170	AT1G01170.1,AT1G01170.2	514.89	675.00	124.09
AT1G01180	AT1G01180.1	1456.00	146.00	9.05
AT1G01190	AT1G01190.1,AT1G01190.2	1690.00	13.00	0.69
AT1G01200	AT1G01200.1	1207.00	17.00	1.28
AT1G01210	AT1G01210.1,AT1G01210.2,AT1G01210.3	670.57	186.68	25.89
AT1G01220	AT1G01220.1,AT1G01220.2,AT1G01220.3,AT1G01220.4,AT1G01220.5,AT1G01220.6,AT1G01220.7,AT1G01220.8	3459.93	340.64	8.75
AT1G01225	AT1G01225.1	1077.00	34.00	2.87
AT1G01230	AT1G01230.1	876.00	291.00	30.48
AT1G01240	AT1G01240.1,AT1G01240.2,AT1G01240.3,AT1G01240.4,AT1G01240.5	1533.30	427.00	25.09
AT1G01250	AT1G01250.1	891.00	32.00	3.29
AT1G01260	AT1G01260.1,AT1G01260.2,AT1G01260.3	2438.09	151.00	5.53
AT1G01280	AT1G01280.1	1602.00	34.00	1.91
AT1G01290	AT1G01290.1,AT1G01290.2	1542.55	205.00	11.97
AT1G01300	AT1G01300.1	2062.00	1458.00	63.30
AT1G01310	AT1G01310.1	977.00	3.00	0.28
AT1G01320	AT1G01320.1,AT1G01320.2,AT1G01320.3	6037.49	4535.00	66.46
AT1G01340	AT1G01340.1,AT1G01340.2	2464.56	136.00	4.93
AT1G01350	AT1G01350.1	1434.00	184.02	11.58
AT1G01355	AT1G01355.1,AT1G01355.2,AT1G01355.3	758.00	6.00	0.73
AT1G01360	AT1G01360.1	1179.00	171.00	13.16
AT1G01370	AT1G01370.1,AT1G01370.2,AT1G01370.3,AT1G01370.4	1095.75	99.00	8.22
AT1G01380	AT1G01380.1,AT1G01380.2,AT1G01380.3	609.05	11.00	1.69
AT1G01390	AT1G01390.1,AT1G01390.2	1789.00	44.00	2.21
AT1G01400	AT1G01400.1	1145.00	4.00	0.32
AT1G01420	AT1G01420.1,AT1G01420.2	1614.40	117.00	6.52
AT1G01430	AT1G01430.1	2134.00	523.00	21.93
AT1G01440	AT1G01440.1	2830.00	314.00	9.89
AT1G01450	AT1G01450.1	1413.00	146.00	9.33
AT1G01453	AT1G01453.1,AT1G01453.2	1225.00	4.00	0.30
AT1G01470	AT1G01470.1	1348.00	1518.99	101.86
AT1G01480	AT1G01480.1,AT1G01480.2	1735.00	9.00	0.47
AT1G01490	AT1G01490.1,AT1G01490.2,AT1G01490.3,AT1G01490.4	1557.14	1288.97	74.55
AT1G01500	AT1G01500.1	1773.00	253.00	12.81
AT1G01510	AT1G01510.1	2637.00	436.00	14.74
AT1G01520	AT1G01520.1,AT1G01520.2,AT1G01520.3,AT1G01520.4,AT1G01520.5	1429.00	7.00	0.44
AT1G01530	AT1G01530.1	758.00	3.00	0.37
AT1G01540	AT1G01540.1,AT1G01540.2	1956.11	1052.00	48.20
AT1G01550	AT1G01550.1,AT1G01550.2	1579.06	1648.00	93.96
AT1G01560	AT1G01560.1,AT1G01560.2,AT1G01560.3,AT1G01560.4	1596.37	158.00	8.91
AT1G01570	AT1G01570.1,AT1G01570.2	1737.11	17.00	0.88
AT1G01580	AT1G01580.1,AT1G01580.2	2635.00	14.00	0.47
AT1G01590	AT1G01590.1	2624.00	10.00	0.34
AT1G01600	AT1G01600.1	2323.00	109.00	4.19
AT1G01610	AT1G01610.1	1916.00	284.00	13.29
AT1G01620	AT1G01620.1,AT1G01620.2	1330.23	4343.00	295.22
AT1G01630	AT1G01630.1	1479.00	445.00	27.13
AT1G01640	AT1G01640.1,AT1G01640.2	1126.00	163.00	13.16
AT1G01650	AT1G01650.1,AT1G01650.2,AT1G01650.3,AT1G01650.4	2230.06	766.00	30.71
AT1G01660	AT1G01660.1,AT1G01660.2	1840.64	27.00	1.32
AT1G01670	AT1G01670.1,AT1G01670.2,AT1G01670.3	1359.42	50.00	3.32
AT1G01680	AT1G01680.1	1187.00	9.00	0.69
AT1G01690	AT1G01690.1,AT1G01690.2,AT1G01690.3	1780.26	55.00	2.77
AT1G01695	AT1G01695.1	1658.00	2.98	0.16
AT1G01700	AT1G01700.1,AT1G01700.2,AT1G01700.3,AT1G01700.4,AT1G01700.5	1756.17	87.00	4.45
AT1G01710	AT1G01710.1	1701.00	465.00	24.57
AT1G01715	AT1G01715.1,AT1G01715.2	686.37	51.99	7.04
