gene_id	transcript_id(s)	length	expected_count	FPKM
AT1G01010	AT1G01010.1	1688.00	51.00	3.13
AT1G01020	AT1G01020.1,AT1G01020.2,AT1G01020.3,AT1G01020.4,AT1G01020.5,AT1G01020.6	1184.46	177.00	15.64
AT1G01030	AT1G01030.1,AT1G01030.2	1875.00	33.00	1.82
AT1G01040	AT1G01040.1,AT1G01040.2	5960.44	497.00	8.51
AT1G01050	AT1G01050.1,AT1G01050.2	994.00	1012.65	107.29
AT1G01060	AT1G01060.1,AT1G01060.2,AT1G01060.3,AT1G01060.4,AT1G01060.5,AT1G01060.6,AT1G01060.7,AT1G01060.8	2132.00	5.00	0.24
AT1G01070	AT1G01070.1,AT1G01070.2	1471.11	200.85	14.20
AT1G01080	AT1G01080.1,AT1G01080.2,AT1G01080.3	1386.47	638.00	47.94
AT1G01090	AT1G01090.1	1896.00	1197.00	65.30
AT1G01100	AT1G01100.1,AT1G01100.2,AT1G01100.3,AT1G01100.4	590.26	1948.67	356.98
AT1G01110	AT1G01110.1,AT1G01110.2	2044.00	61.00	3.08
AT1G01120	AT1G01120.1	2052.00	129.00	6.49
AT1G01130	AT1G01130.1	375.00	22.00	6.59
AT1G01140	AT1G01140.1,AT1G01140.2,AT1G01140.3	1698.31	717.00	43.77
AT1G01160	AT1G01160.1,AT1G01160.2	1051.29	764.00	76.37
AT1G01170	AT1G01170.1,AT1G01170.2	514.74	730.00	154.85
AT1G01180	AT1G01180.1	1456.00	147.00	10.51
AT1G01190	AT1G01190.1,AT1G01190.2	1669.00	23.00	1.43
AT1G01200	AT1G01200.1	1207.00	14.00	1.21
AT1G01210	AT1G01210.1,AT1G01210.2,AT1G01210.3	696.07	160.07	24.62
AT1G01220	AT1G01220.1,AT1G01220.2,AT1G01220.3,AT1G01220.4,AT1G01220.5,AT1G01220.6,AT1G01220.7,AT1G01220.8	3479.67	217.15	6.40
AT1G01225	AT1G01225.1	1077.00	36.00	3.51
AT1G01230	AT1G01230.1	876.00	268.00	32.38
AT1G01240	AT1G01240.1,AT1G01240.2,AT1G01240.3,AT1G01240.4,AT1G01240.5	1514.86	351.00	24.09
AT1G01250	AT1G01250.1	891.00	25.00	2.97
AT1G01260	AT1G01260.1,AT1G01260.2,AT1G01260.3	2433.09	87.00	3.68
AT1G01280	AT1G01280.1	1602.00	13.00	0.84
AT1G01290	AT1G01290.1,AT1G01290.2	1551.39	184.00	12.32
AT1G01300	AT1G01300.1	2062.00	1206.00	60.40
AT1G01310	AT1G01310.1	977.00	1.00	0.11
AT1G01320	AT1G01320.1,AT1G01320.2,AT1G01320.3	6028.66	3510.00	59.42
AT1G01340	AT1G01340.1,AT1G01340.2	2435.23	99.00	4.19
AT1G01350	AT1G01350.1	1434.00	158.05	11.47
AT1G01355	AT1G01355.1,AT1G01355.2,AT1G01355.3	783.00	8.00	1.09
AT1G01360	AT1G01360.1	1179.00	194.00	17.23
AT1G01370	AT1G01370.1,AT1G01370.2,AT1G01370.3,AT1G01370.4	1046.15	59.00	5.93
AT1G01380	AT1G01380.1,AT1G01380.2,AT1G01380.3	643.75	7.00	1.17
AT1G01390	AT1G01390.1,AT1G01390.2	1789.00	43.00	2.49
AT1G01400	AT1G01400.1	1145.00	1.00	0.09
AT1G01420	AT1G01420.1,AT1G01420.2	1759.98	79.00	4.65
AT1G01430	AT1G01430.1	2134.00	483.00	23.36
AT1G01440	AT1G01440.1	2830.00	211.00	7.66
AT1G01450	AT1G01450.1	1413.00	83.00	6.12
AT1G01453	AT1G01453.1,AT1G01453.2	1358.00	7.00	0.54
AT1G01470	AT1G01470.1	1348.00	1551.00	119.97
AT1G01480	AT1G01480.1,AT1G01480.2	1735.00	1.00	0.06
AT1G01490	AT1G01490.1,AT1G01490.2,AT1G01490.3,AT1G01490.4	1546.67	1298.00	87.19
AT1G01500	AT1G01500.1	1773.00	232.00	13.55
AT1G01510	AT1G01510.1	2637.00	376.00	14.67
AT1G01520	AT1G01520.1,AT1G01520.2,AT1G01520.3,AT1G01520.4,AT1G01520.5	1349.00	7.00	0.54
AT1G01530	AT1G01530.1	758.00	1.00	0.14
AT1G01540	AT1G01540.1,AT1G01540.2	1957.00	824.00	43.52
AT1G01550	AT1G01550.1,AT1G01550.2	1578.29	1336.00	87.90
AT1G01560	AT1G01560.1,AT1G01560.2,AT1G01560.3,AT1G01560.4	1595.00	38.00	2.47
