gene_id	transcript_id(s)	length	expected_count	FPKM
AT1G01010	AT1G01010.1	1688.00	51.00	2.64
AT1G01020	AT1G01020.1,AT1G01020.2,AT1G01020.3,AT1G01020.4,AT1G01020.5,AT1G01020.6	1157.79	178.00	13.57
AT1G01030	AT1G01030.1,AT1G01030.2	1905.00	24.00	1.10
AT1G01040	AT1G01040.1,AT1G01040.2	6061.89	554.00	7.86
AT1G01050	AT1G01050.1,AT1G01050.2	994.00	1108.01	98.95
AT1G01060	AT1G01060.1,AT1G01060.2,AT1G01060.3,AT1G01060.4,AT1G01060.5,AT1G01060.6,AT1G01060.7,AT1G01060.8	2393.94	9.00	0.33
AT1G01070	AT1G01070.1,AT1G01070.2	1465.64	91.00	5.44
AT1G01080	AT1G01080.1,AT1G01080.2,AT1G01080.3	1385.01	979.00	62.08
AT1G01090	AT1G01090.1	1896.00	1597.00	73.44
AT1G01100	AT1G01100.1,AT1G01100.2,AT1G01100.3,AT1G01100.4	590.36	2118.49	327.06
AT1G01110	AT1G01110.1,AT1G01110.2	2074.88	66.00	2.77
AT1G01120	AT1G01120.1	2052.00	248.00	10.52
AT1G01130	AT1G01130.1	375.00	12.00	3.03
AT1G01140	AT1G01140.1,AT1G01140.2,AT1G01140.3	1698.58	800.00	41.16
AT1G01160	AT1G01160.1,AT1G01160.2	1050.35	535.00	45.12
AT1G01170	AT1G01170.1,AT1G01170.2	514.49	720.00	128.80
AT1G01180	AT1G01180.1	1456.00	153.00	9.22
AT1G01190	AT1G01190.1,AT1G01190.2	1690.00	12.00	0.62
AT1G01200	AT1G01200.1	1207.00	17.00	1.24
AT1G01210	AT1G01210.1,AT1G01210.2,AT1G01210.3	691.66	128.06	16.71
AT1G01220	AT1G01220.1,AT1G01220.2,AT1G01220.3,AT1G01220.4,AT1G01220.5,AT1G01220.6,AT1G01220.7,AT1G01220.8	3496.72	318.23	7.86
AT1G01225	AT1G01225.1	1077.00	27.00	2.22
AT1G01230	AT1G01230.1	876.00	271.00	27.60
AT1G01240	AT1G01240.1,AT1G01240.2,AT1G01240.3,AT1G01240.4,AT1G01240.5	1571.53	322.00	17.94
AT1G01250	AT1G01250.1	891.00	14.00	1.40
AT1G01260	AT1G01260.1,AT1G01260.2,AT1G01260.3	2464.72	112.00	3.94
AT1G01280	AT1G01280.1	1602.00	1.00	0.05
AT1G01290	AT1G01290.1,AT1G01290.2	1455.36	190.00	11.45
AT1G01300	AT1G01300.1	2062.00	1125.00	47.49
AT1G01310	AT1G01310.1	977.00	1.00	0.09
AT1G01320	AT1G01320.1,AT1G01320.2,AT1G01320.3	6041.91	4732.00	67.38
AT1G01340	AT1G01340.1,AT1G01340.2	2452.30	117.00	4.14
AT1G01350	AT1G01350.1	1434.00	162.77	9.96
AT1G01355	AT1G01355.1,AT1G01355.2,AT1G01355.3	765.96	6.00	0.70
AT1G01360	AT1G01360.1	1179.00	113.00	8.46
AT1G01370	AT1G01370.1,AT1G01370.2,AT1G01370.3,AT1G01370.4	1086.32	78.99	6.43
AT1G01380	AT1G01380.1,AT1G01380.2,AT1G01380.3	557.00	3.00	0.49
AT1G01390	AT1G01390.1,AT1G01390.2	1789.00	40.00	1.95
AT1G01400	AT1G01400.1	1145.00	1.00	0.08
AT1G01420	AT1G01420.1,AT1G01420.2	1646.19	51.00	2.71
AT1G01430	AT1G01430.1	2134.00	488.00	19.89
AT1G01440	AT1G01440.1	2830.00	244.00	7.47
AT1G01450	AT1G01450.1	1413.00	107.00	6.65
AT1G01453	AT1G01453.1,AT1G01453.2	1225.00	1.00	0.07
AT1G01470	AT1G01470.1	1348.00	1161.00	75.70
AT1G01480	AT1G01480.1,AT1G01480.2	2002.00	2.00	0.09
AT1G01490	AT1G01490.1,AT1G01490.2,AT1G01490.3,AT1G01490.4	1565.50	886.00	49.55
AT1G01500	AT1G01500.1	1773.00	228.00	11.23
AT1G01510	AT1G01510.1	2637.00	416.00	13.68
AT1G01520	AT1G01520.1,AT1G01520.2,AT1G01520.3,AT1G01520.4,AT1G01520.5	1349.00	1.00	0.07
AT1G01530	AT1G01530.1	758.00	2.00	0.24
AT1G01540	AT1G01540.1,AT1G01540.2	1958.14	1025.00	45.61
AT1G01550	AT1G01550.1,AT1G01550.2	1580.70	1217.00	67.39
AT1G01560	AT1G01560.1,AT1G01560.2,AT1G01560.3,AT1G01560.4	1605.14	125.00	6.81
AT1G01570	AT1G01570.1,AT1G01570.2	1437.00	6.00	0.37
AT1G01580	AT1G01580.1,AT1G01580.2	2635.00	17.00	0.56
AT1G01590	AT1G01590.1	2624.00	6.00	0.20
