gene_id	transcript_id(s)	length	expected_count	FPKM
AT1G01010	AT1G01010.1	1688.00	48.00	2.52
AT1G01020	AT1G01020.1,AT1G01020.2,AT1G01020.3,AT1G01020.4,AT1G01020.5,AT1G01020.6	1208.81	173.00	12.81
AT1G01030	AT1G01030.1,AT1G01030.2	1905.00	21.00	0.98
AT1G01040	AT1G01040.1,AT1G01040.2	5990.66	503.00	7.33
AT1G01050	AT1G01050.1,AT1G01050.2	994.00	1256.79	113.90
AT1G01060	AT1G01060.1,AT1G01060.2,AT1G01060.3,AT1G01060.4,AT1G01060.5,AT1G01060.6,AT1G01060.7,AT1G01060.8	2132.00	4.00	0.17
AT1G01070	AT1G01070.1,AT1G01070.2	1470.27	148.78	9.00
AT1G01080	AT1G01080.1,AT1G01080.2,AT1G01080.3	1385.03	885.00	56.95
AT1G01090	AT1G01090.1	1896.00	1553.00	72.47
AT1G01100	AT1G01100.1,AT1G01100.2,AT1G01100.3,AT1G01100.4	591.45	1363.38	213.19
AT1G01110	AT1G01110.1,AT1G01110.2	2044.00	60.00	2.59
AT1G01120	AT1G01120.1	2052.00	356.00	15.33
AT1G01130	AT1G01130.1	375.00	8.00	2.05
AT1G01140	AT1G01140.1,AT1G01140.2,AT1G01140.3	1699.27	846.00	44.15
AT1G01150	AT1G01150.1,AT1G01150.2,AT1G01150.3	1228.00	6.00	0.44
AT1G01160	AT1G01160.1,AT1G01160.2	1050.18	593.00	50.76
AT1G01170	AT1G01170.1,AT1G01170.2	514.82	678.00	123.00
AT1G01180	AT1G01180.1	1456.00	156.00	9.54
AT1G01190	AT1G01190.1,AT1G01190.2	1690.00	11.00	0.58
AT1G01200	AT1G01200.1	1207.00	13.00	0.96
AT1G01210	AT1G01210.1,AT1G01210.2,AT1G01210.3	681.08	128.79	17.34
AT1G01220	AT1G01220.1,AT1G01220.2,AT1G01220.3,AT1G01220.4,AT1G01220.5,AT1G01220.6,AT1G01220.7,AT1G01220.8	3504.76	347.84	8.70
AT1G01225	AT1G01225.1	1077.00	24.00	2.00
AT1G01230	AT1G01230.1	876.00	265.00	27.39
AT1G01240	AT1G01240.1,AT1G01240.2,AT1G01240.3,AT1G01240.4,AT1G01240.5	1563.18	384.00	21.83
AT1G01250	AT1G01250.1	891.00	27.00	2.74
AT1G01260	AT1G01260.1,AT1G01260.2,AT1G01260.3	2566.16	121.00	4.15
AT1G01290	AT1G01290.1,AT1G01290.2	1548.42	140.00	8.04
AT1G01300	AT1G01300.1	2062.00	877.00	37.57
AT1G01320	AT1G01320.1,AT1G01320.2,AT1G01320.3	6034.06	4090.00	59.18
AT1G01340	AT1G01340.1,AT1G01340.2	2445.64	116.00	4.18
AT1G01350	AT1G01350.1	1434.00	167.61	10.41
AT1G01355	AT1G01355.1,AT1G01355.2,AT1G01355.3	790.87	3.00	0.35
AT1G01360	AT1G01360.1	1179.00	146.00	11.09
AT1G01370	AT1G01370.1,AT1G01370.2,AT1G01370.3,AT1G01370.4	999.23	48.00	4.33
